開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
不動產	bat1 donk6 can2	
不動聲色	bat1 donk6 senk1 sek1	
不倒翁	bat1 dow2 yonk1	
不對勁	bat1 doy3 genk6	
不凡	bat1 fan4	
[抔]飯	bat1 fan6	盛飯
不分彼此	bat1 fant1 bey2 ci2	
不分青紅皂白	bat1 fant1 cenk1 honk4 jow6 bag6	
不分輕重緩急	bat1 fant1 henk1 conk5 wun6 gap1	
不分軒輊	bat1 fant1 hin1 ji3	
不分晝夜	bat1 fant1 jaw3 ye6	
不分皂白	bat1 fant1 jow6 bag6	
不分男女老幼	bat1 fant1 nam4 noy5 low5 yaw3	
不乏其人	bat1 fat6 key4 yant4	
不費吹灰之力	bat1 fay3 coy1 fui1 ji1 lek6	
不慌不忙	bat1 fong1 bat1 mong4	
不妨	bat1 fong4	
不負眾望	bat1 fu6 jonk3 mong6	
不假思索	bat1 ga2 si1 sag3	
不禁	bat1 gamp1	
不甘	bat1 gamp1	
不甘寂寞	bat1 gamp1 jek6 mog6	
不甘心	bat1 gamp1 samp1	
不甘示弱	bat1 gamp1 si6 yeog6	
不敢當	bat1 gamp2 dong1	
不僅	bat1 gant2	
不僅僅	bat1 gant2 gant2	
不急不徐	bat1 gap1 bat1 coy4	
不急之務	bat1 gap1 ji1 mow6	
不夠	bat1 gaw3	
不計其數	bat1 gay3 key4 sow3	
不經一事，不長一智	bat1 genk1 yat1 si6 bat1 jeong2 yat1 ji3	
畢竟	bat1 genk2	
不景氣	bat1 genk2 hey3	
不覊	bat1 gey1	
筆記	bat1 gey3	
筆記本	bat1 gey3 bun2	
不見不散	bat1 gin3 bat1 san3	
不見經傳	bat1 gin3 genk1 ceun4	
不見棺材不掉淚	bat1 gin3 gun1 coi4 bat1 diu6 loy6	
不見天日	bat1 gin3 tin1 yat6	
筆桿	bat1 gon2	
筆供	bat1 gonk1	
畢恭畢敬	bat1 gonk1 bat1 genk3	
不公不義	bat1 gonk1 bat1 yi6	
不共戴天	bat1 gonk6 dai3 tin1	
不共戴天之仇	bat1 gonk6 dai3 tin1 ji1 saw4	
不告而別	bat1 gow3 yi4 bid6	
不關痛癢	bat1 guan1 tonk3 yeong5	
不管	bat1 gun2	
不管三七二十一	bat1 gun2 sam1 cat1 yi6 sap6 yat1	
不過	bat1 guo3	
不過如此	bat1 guo3 yeu4 ci2	
不光	bat1 guong1	
不合	bat1 hab6	
不合標準	bat1 hab6 biu1 jont2	
不合作	bat1 hab6 jog3	
不合規定	bat1 hab6 kuay1 denk6	
不合時宜	bat1 hab6 si4 yi4	
不堪	bat1 hamp1	
不堪設想	bat1 hamp1 cid3 seong2	
不堪入目	bat1 hamp1 yap6 mok6	
不堪入耳	bat1 hamp1 yap6 yi5	
不堪一擊	bat1 hamp1 yat1 gek1	
不含	bat1 hamp4	
不含稅	bat1 hamp4 soy3	
不含糊	bat1 hamp4 wu4	
不幸	bat1 hank6	
不幸中之大幸	bat1 hank6 jonk1 ji1 dai6 hank6	
不孝	bat1 hau3	
不孝子	bat1 hau3 ji2	
不孝有三	bat1 hau3 yaw5 sam1	
不喜歡	bat1 hey2 fun1	
不可避免	bat1 ho2 bey6 min5	
不可多得	bat1 ho2 do1 dak1	
不可救藥	bat1 ho2 gaw3 yeog6	
不可告人	bat1 ho2 gow3 yant4	
不可限量	bat1 ho2 han6 leong6	
不可開交	bat1 ho2 hoi1 gau1	
不可知論	bat1 ho2 ji1 lont6	
不可戰勝	bat1 ho2 jin3 senk3	
不可捉摸	bat1 ho2 jok1 mo2	
不可終日	bat1 ho2 jonk1 yat6	
不可理喻	bat1 ho2 ley5 yeu6	
不可名狀	bat1 ho2 menk4 jong6	
不可磨滅	bat1 ho2 mo4 mid6	
