開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
井水	jenk2 soy2	
井水不犯河水	jenk2 soy2 bat1 fan6 ho4 soy2	
整體	jenk2 tay2	
井田	jenk2 tin4	
井田制	jenk2 tin4 jay3	
井田制度	jenk2 tin4 jay3 dow6	
整痛	jenk2 tonk3	弄痛
整污糟	jenk2 wu1 jow1	弄髒
井然	jenk2 yin4	
井然有序	jenk2 yin4 yaw5 joy6	
井然有條	jenk2 yin4 yaw5 tiu4	
整容	jenk2 yonk4	
正版	jenk3 ban2	
政變	jenk3 bin3	
正本	jenk3 bun2	
政策	jenk3 cag3	
證詞	jenk3 ci4	
正大	jenk3 dai6	
政敵	jenk3 dek6	
正點	jenk3 dim2	
正電	jenk3 din6	
正電極	jenk3 din6 gek6	
正電荷	jenk3 din6 ho6	
正電子	jenk3 din6 ji2	
正電流	jenk3 din6 law4	
正當	jenk3 dong1	
政黨政治	jenk3 dong2 jenk3 ji6	
正道	jenk3 dow6	
正對面	jenk3 doy3 min6	
正反	jenk3 fan2	
正犯	jenk3 fan2	
正反兩方面	jenk3 fan2 leong5 fong1 min6	
正反兩面	jenk3 fan2 leong5 min6	
正反面	jenk3 fan2 min6	
證婚	jenk3 fant1	
證婚人	jenk3 fant1 yant4	
正貨	jenk3 fo3	正牌貨
正方形	jenk3 fong1 yenk4	
政府	jenk3 fu2	
政府部門	jenk3 fu2 bow6 mun4	
政府機關	jenk3 fu2 gey1 guan1	
政府機構	jenk3 fu2 gey1 kaw3	
正負	jenk3 fu6	
正負號	jenk3 fu6 how6	
政界	jenk3 gai3	
政界人士	jenk3 gai3 yant4 si6	
正根	jenk3 gant1	
證交所	jenk3 gau1 so2	
證交稅	jenk3 gau1 soy3	
政教	jenk3 gau3	
正教	jenk3 gau3	
政教合一	jenk3 gau3 hab6 yat1	
正極	jenk3 gek6	
正經	jenk3 genk1	
政經	jenk3 genk1	
正經事	jenk3 genk1 si6	
政見	jenk3 gin3	
證件	jenk3 gin3	
政綱	jenk3 gong1	
證據	jenk3 goy3	
證管會	jenk3 gun2 wui6	
正合	jenk3 hab6	
正合我意	jenk3 hab6 ngo5 yi3	
政客	jenk3 hag3	
症候	jenk3 haw6	
症候群	jenk3 haw6 kuant4	
證券	jenk3 heun3	
證券交易所	jenk3 heun3 gau1 yek6 so2	
證券交易稅	jenk3 heun3 gau1 yek6 soy3	
證券公司	jenk3 heun3 gonk1 si1	
證券商	jenk3 heun3 seong1	
證券市場	jenk3 heun3 si5 ceong4	
正氣	jenk3 hey3	
正氣凜然	jenk3 hey3 lamp5 yin4	
政協	jenk3 hib3	
正好	jenk3 how2	
正則	jenk3 jak1	
正则表达式	jenk3 jak1 biu2 dad6 sek1	
正则化	jenk3 jak1 fa3	
政績	jenk3 jek1	
正值	jenk3 jek6	
正正經經	jenk3 jenk3 genk1 genk1	
正正確確	jenk3 jenk3 kog3 kog3	
政治	jenk3 ji6	
正字	jenk3 ji6	
政治部	jenk3 ji6 bow6	
正字法	jenk3 ji6 fad3	
政治犯	jenk3 ji6 fan2	
政治家	jenk3 ji6 ga1	
政治界	jenk3 ji6 gai3	
政治經濟	jenk3 ji6 genk1 jay3	
政治學	jenk3 ji6 hog6	
政治學家	jenk3 ji6 hog6 ga1	
政治權利	jenk3 ji6 keun4 ley6	
證照	jenk3 jiu3	
正在	jenk3 joi6	
症狀	jenk3 jong6	
正中	jenk3 jonk1	
正中間	jenk3 jonk1 gan1	
正中下懷	jenk3 jonk1 ha6 wai4	
正中央	jenk3 jonk1 yeong1	
正楷	jenk3 kai2	
政權	jenk3 keun4	
正確	jenk3 kog3	
正確性	jenk3 kog3 senk3	
正規	jenk3 kuay1	
正規軍	jenk3 kuay1 guant1	
正離子	jenk3 ley4 ji2	
政論	jenk3 lont6	
正文	jenk3 mant4	
證物	jenk3 mat6	
正名	jenk3 menk4	
證明	jenk3 menk4	
證明文件	jenk3 menk4 mant4 gin6	
證明書	jenk3 menk4 seu1	
正面	jenk3 min6	
政務	jenk3 mow6	
政務官	jenk3 mow6 gun1	
正門	jenk3 mun4	
正午	jenk3 ng5	
正誤	jenk3 ng6	
正誤表	jenk3 ng6 biu2	
正顏厲色	jenk3 ngan4 lay6 sek1	
正派	jenk3 pai3	
正牌	jenk3 pai4	
證實	jenk3 sat6	
正色	jenk3 sek1	
正式	jenk3 sek1	
正常	jenk3 seong4	
正常化	jenk3 seong4 fa3	
證書	jenk3 seu1	
正史	jenk3 si2	
正視	jenk3 si6	
正是如此	jenk3 si6 yeu4 ci2	
正數	jenk3 sow3	
政壇	jenk3 tan4	
正體	jenk3 tay2	
正體字	jenk3 tay2 ji6	
正題	jenk3 tay4	
正統	jenk3 tonk2	
正途	jenk3 tow4	
正話	jenk3 wa6	剛才，剛剛，正在，正，正要
政委	jenk3 way2	
政委會	jenk3 way2 wui6	
正因	jenk3 yant1	
證人	jenk3 yant4	
正人	jenk3 yant4	
正人君子	jenk3 yant4 guant1 ji2	
證人席	jenk3 yant4 jek6	
正一	jenk3 yat1	真正
正義	jenk3 yi6	
正義感	jenk3 yi6 gamp2	
證驗	jenk3 yim6	
證言	jenk3 yin4	
正弦	jenk3 yin4	
正弦波	jenk3 yin4 bo1	
正弦定理	jenk3 yin4 denk6 ley5	
正弦曲線	jenk3 yin4 kok1 sin3	
正弦規	jenk3 yin4 kuay1	
政要	jenk3 yiu3	
剩	jenk6	剩，剩下
剩得	jenk6 dak1	只有，只剩下
剩低	jenk6 day1	剩下
靜電	jenk6 din6	
剩翻	jenk6 fan1	剩下
靜雞雞	jenk6 gay1 gay1	靜靜地，悄悄地
淨係	jenk6 hay6	只是，光，僅僅
靜靜雞	jenk6 jenk2 gay1	偷偷的
靜止	jenk6 ji2	
靜落嚟	jenk6 log6 ley4	安靜下來
靜謐	jenk6 mat6	
靜宓	jenk6 mat6	
淨麵	jenk6 min6	光麵，陽春麵，素麵條
靜英英	jenk6 yenk1 yenk1	靜悄悄，靜靜地
雀	jeog2	鳥
著	jeog3	穿
雀斑	jeog3 ban1	
酌辦	jeog3 ban6	
嚼不爛	jeog3 bat1 lan6	
鵲報	jeog3 bow3	
鵲巢鳩佔	jeog3 cau4 gaw1 jim3	
酌情	jeog3 cenk4	
酌情處理	jeog3 cenk4 ceu5 ley5	
雀竇	jeog3 daw3	鳥窩
著緊	jeog3 gant2	穿著
著好	jeog3 how2	穿好
雀仔	jeog3 jay2	鳥兒，小鳥
雀仔竇	jeog3 jay2 daw3	鳥窩
灼灼	jeog3 jeog3	
著褸	jeog3 law1	穿大衣
著名牌	jeog3 menk4 pai4	穿名牌
雀屏	jeog3 penk2	
著衫	jeog3 sam1	穿衣服
灼傷	jeog3 seong1	
爵士	jeog3 si6	
爵士音樂	jeog3 si6 yamp1 ngog6	
嚼舌	jeog3 sid3	
灼燒	jeog3 siu1	
灼痛	jeog3 tonk3	
雀躍	jeog3 yeog6	
著鴛鴦襪	jeog3 yeun1 yeong1 mat6	穿錯襪子
灼熱	jeog3 yid6	
著筆	jeog6 bat1	
著燈	jeog6 dank1	開燈
著地	jeog6 dey6	
著地點	jeog6 dey6 dim2	
著火	jeog6 fo2	
著火點	jeog6 fo2 dim2	
著慌	jeog6 fong1	
著急	jeog6 gap1	
著重	jeog6 jonk6	
著力	jeog6 lek6	
著力點	jeog6 lek6 dim2	
著涼	jeog6 leong4	
著落	jeog6 log6	
著陸	jeog6 lok6	
著迷	jeog6 may4	
著魔	jeog6 mo1	
著眼	jeog6 ngan5	
著眼點	jeog6 ngan5 dim2	
著手	jeog6 saw2	
著手成春	jeog6 saw2 senk4 cont1	
著手於	jeog6 saw2 yeu1	
著色	jeog6 sek1	
著想	jeog6 seong2	
著數	jeog6 sow3	好處，便宜，有利，合算
著意	jeog6 yi3	
將	jeong1	把
將次	jeong1 ci3	
將錯就錯	jeong1 co3 jaw6 co3	
將近	jeong1 gant6	快要，快
將近	jeong1 gant6	
將計就計	jeong1 gay3 jaw6 gay3	
將功折罪	jeong1 gonk1 jid3 joy3	
將功贖罪	jeong1 gonk1 sok6 joy6	
將軍	jeong1 guant1	
張開	jeong1 hoi1	
將就	jeong1 jaw6	
將來	jeong1 loi4	
蟑螂	jeong1 long4	
樟木	jeong1 mok6	
樟腦	jeong1 now5	
張三李四	jeong1 sam1 ley5 sey3	
將心比心	jeong1 samp1 bey2 samp1	
將息	jeong1 sek1	
樟樹	jeong1 seu6	
將信將疑	jeong1 sont3 jeong1 yi4	
獐頭鼠目	jeong1 taw4 seu2 mok6	
張貼	jeong1 tib3	
將養	jeong1 yeong5	
章魚	jeong1 yeu4	
將要	jeong1 yiu3	
獎	jeong2	獎勵
掌握	jeong2 ak1	
獎品	jeong2 bant2	
長輩	jeong2 bui3	
長大	jeong2 dai6	
長得	jeong2 dak1	
獎券	jeong2 heun3	
獎學金	jeong2 hog6 gamp1	
長子	jeong2 ji2	
獎勵	jeong2 lay6	
槳櫓	jeong2 low5	
長老	jeong2 low5	
長老教會	jeong2 low5 gau3 wui6	
長老會	jeong2 low5 wui6	
長滿	jeong2 mun5	
長男	jeong2 nam4	
長女	jeong2 noy5	
長相	jeong2 seong3	
掌上壓	jeong2 seong6 ad3	俯臥撐，伏地挺身
長幼	jeong2 yaw3	
長幼有序	jeong2 yaw3 yaw5 joy6	
仗	jeong3	次，回，趟
將兵	jeong3 benk1	
帳單	jeong3 dan1	
將校	jeong3 gau3	
將官	jeong3 gun1	
瘴氣	jeong3 hey3	
帳號	jeong3 how6	
將領	jeong3 lenk5	
將令	jeong3 lenk6	
帳面	jeong3 min6	
將門虎子	jeong3 mun4 fu2 ji2	
障眼法	jeong3 ngan5 fad3	
障礙	jeong3 ngoi6	
帳篷	jeong3 ponk4	
將相	jeong3 seong3	
將士	jeong3 si6	
將帥	jeong3 soy3	
帳戶	jeong3 wu6	
賬戶	jeong3 wu6	
醬油	jeong3 yaw4	
橡皮筋	jeong4 pey4 gant1	
象拔	jeong6 bat6	象鼻子
象鼻	jeong6 bey6	
象鼻蟲	jeong6 bey6 conk4	
象笏	jeong6 fat1	
橡筋	jeong6 gant1	橡皮圈，橡皮筋
橡膠	jeong6 gau1	
象徵	jeong6 jenk1	
象徵主義	jeong6 jenk1 jeu2 yi6	
象徵性	jeong6 jenk1 senk3	
象箸	jeong6 jeu6	
象棋	jeong6 key4	
丈母娘	jeong6 mow5 neong4	
象牙	jeong6 nga4	
象牙塔	jeong6 nga4 tab3	
橡實	jeong6 sat6	
橡樹	jeong6 seu6	
丈人	jeong6 yant4	
象形字	jeong6 yenk4 ji6	
象形文字	jeong6 yenk4 mant4 ji6	
珠寶	jeu1 bow2	
珠寶店	jeu1 bow2 dim3	
珠寶行	jeu1 bow2 hong4	
珠寶商	jeu1 bow2 seong1	
豬竇	jeu1 daw3	豬窩
諸多	jeu1 do1	
豬腳	jeu1 geog3	豬蹄子，豬蹄，豬後腿
珠璣	jeu1 gey1	
豬公	jeu1 gonk1	公豬
豬膏	jeu1 gow1	豬油
朱古力	jeu1 gu1 lek1	巧克力
朱古力新地	jeu1 gu1 lek1 sant1 dey2	巧克力聖代
朱古力雪糕	jeu1 gu1 lek1 seud3 gow1	巧克力冰淇淋
珠光寶氣	jeu1 guong1 bow2 hey3	
諸侯	jeu1 haw4	
諸侯國	jeu1 haw4 guog3	
豬紅	jeu1 honk4	豬血
豬踭	jeu1 jang1	豬肘子，豬蹄膀，豬後腿
豬踭肉	jeu1 jang1 yok6	豬肘子，豬蹄膀，豬後腿
豬仔包	jeu1 jay2 bau1	短法國麵包
諸子百家	jeu1 ji2 bag3 ga1	
珠聯璧合	jeu1 leun4 bek1 hab6	
豬脷	jeu1 ley6	豬舌頭，口條
珠簾	jeu1 lim4	
豬玀	jeu1 lo4	
侏羅紀	jeu1 lo4 gey2	
豬籠入水	jeu1 lonk4 yap6 soy2	喩錢財從多方面進來
豬嘜	jeu1 mak1	愚蠢，笨
珠母	jeu1 mow5	
豬乸	jeu1 na2	母豬
豬扒	jeu1 pa2	豬排
豬扒包	jeu1 pa2 bau1	豬排包
豬扒飯	jeu1 pa2 fan6	豬排飯
豬朋狗友	jeu1 pank4 gaw2 yaw5	壞朋友，狐朋狗友
珠蚌	jeu1 pong5	
豬手	jeu1 saw2	豬前腿
珠算	jeu1 seun3	
蛛絲馬跡	jeu1 si1 ma5 jek1	
諸如	jeu1 yeu4	
茱萸	jeu1 yeu4	
侏儒	jeu1 yeu4	
諸如此類	jeu1 yeu4 ci2 loy6	
侏儒症	jeu1 yeu4 jenk3	
珠圓玉潤	jeu1 yeun4 yok6 yont6	
主播	jeu2 bo3	
主僕	jeu2 bok6	
主僕關係	jeu2 bok6 guan1 hay6	
主唱	jeu2 ceong3	
主場	jeu2 ceong4	
主廚	jeu2 ceu4	
主持	jeu2 ci4	
主持正義	jeu2 ci4 jenk3 yi6	
主持人	jeu2 ci4 yant4	
主從	jeu2 conk4	
主從關係	jeu2 conk4 guan1 hay6	
主動	jeu2 donk6	
主動權	jeu2 donk6 keun4	
主動脈	jeu2 donk6 mak6	
煮到埋嚟先食	jeu2 dow2 mai4 ley4 sin1 sek6	吃現成兒，不到時候不著急
主犯	jeu2 fan2	
主帆	jeu2 fan4	
煮飯	jeu2 fan6	做飯
煮飯	jeu2 fan6	
煮飯仔	jeu2 fan6 jay2	過家家
煮沸	jeu2 fay3	
主峰	jeu2 fonk1	
主婦	jeu2 fu5	
煮咖啡	jeu2 ga3 fe1	
主機	jeu2 gey1	
主機板	jeu2 gey1 ban2	
主角	jeu2 gog3	
主句	jeu2 goy3	
主觀	jeu2 gun1	
主席	jeu2 jek6	
主席台	jeu2 jek6 toi4	
主張	jeu2 jeong1	
主旨	jeu2 ji2	
主治	jeu2 ji6	
主治醫生	jeu2 ji6 yi1 sank1	
主宰	jeu2 joi2	
主宰權	jeu2 joi2 keun4	
主權	jeu2 keun4	
主權國	jeu2 keun4 guog3	
主權國家	jeu2 keun4 guog3 ga1	
主權在民	jeu2 keun4 joi6 mant4	
主流	jeu2 law4	
主流派	jeu2 law4 pai3	
主流社會	jeu2 law4 se5 wui6	
主力	jeu2 lek6	
主力軍	jeu2 lek6 guant1	
煮燶飯	jeu2 lonk1 fan6	煮煳了飯
主修	jeu2 saw1	
主修科目	jeu2 saw1 fo1 mok6	
煮食	jeu2 sek6	煮飯吃
主旋律	jeu2 seun4 lot6	
主使	jeu2 si2	
煮餸	jeu2 sonk3	做菜
主帥	jeu2 soy3	
主題	jeu2 tay4	
主任	jeu2 yamp6	
主因	jeu2 yant1	
主人	jeu2 yant4	
主人公	jeu2 yant4 gonk1	
主人翁	jeu2 yant4 yonk1	
主意	jeu2 yi3	
主頁	jeu2 yib6	
主嫌	jeu2 yim4	
主演	jeu2 yin2	
主要	jeu2 yiu3	
注册	jeu3 cag3	
著稱	jeu3 cenk1	
駐防	jeu3 fong4	
註腳	jeu3 geog3	
駐軍	jeu3 guant1	
駐紮	jeu3 jad3	
駐扎	jeu3 jad3	
著作	jeu3 jog3	
著作權	jeu3 jog3 keun4	
駐足	jeu3 jok1	
駐留	jeu3 law4	
著名	jeu3 menk4	
著名人物	jeu3 menk4 yant4 mat6	
蛀牙	jeu3 nga4	
駐顏有術	jeu3 ngan4 yaw5 sot6	
駐外	jeu3 ngoi6	
駐守	jeu3 saw2	
註射	jeu3 se6	
著書	jeu3 seu1	
著書立說	jeu3 seu1 lab6 seud3	
著述	jeu3 sot6	
駐屯	jeu3 teun4	
駐華	jeu3 wa4	
注意	jeu3 yi3	
住客	jeu6 hag3	房客，租客
住喺	jeu6 hay2	住在
住响	jeu6 heong2	住在
住宅	jeu6 jag6	
住宅區	jeu6 jag6 koy1	
住戶	jeu6 wu6	
輟學	jeud3 hog6	
茁壯	jeud3 jong3	
拙劣	jeud3 leud3	
啜飲	jeud3 yamp2	
啜泣	jeud3 yap1	
絕版	jeud6 ban2	
絕版書	jeud6 ban2 seu1	
絕不	jeud6 bat1	
絕筆	jeud6 bat1	
絕情	jeud6 cenk4	無情，不夠朋友
絕處逢生	jeud6 ceu3 fonk4 sank1	
絕大部分	jeud6 dai6 bow6 fant6	
絕大多數	jeud6 dai6 do1 sow3	
絕頂	jeud6 denk2	
絕頂聰明	jeud6 denk2 conk1 menk4	
絕地	jeud6 dey6	
絕代	jeud6 doi6	
絕代佳人	jeud6 doi6 gai1 yant4	
絕代美女	jeud6 doi6 mey5 noy5	
絕對	jeud6 doy3	
絕對零度	jeud6 doy3 lenk4 dow6	
絕對濕度	jeud6 doy3 sap1 dow6	
絕對性	jeud6 doy3 senk3	
絕對溫度	jeud6 doy3 want1 dow6	
絕對優勢	jeud6 doy3 yaw1 say3	
絕非	jeud6 fey1	
絕佳	jeud6 gai1	
絕交	jeud6 gau1	
絕境	jeud6 genk2	
絕技	jeud6 gey6	
絕句	jeud6 goy3	
絕口	jeud6 haw2	
絕口不提	jeud6 haw2 bat1 tay4	
絕後	jeud6 haw6	
絕響	jeud6 heong2	
絕學	jeud6 hog6	
絕跡	jeud6 jek1	
絕症	jeud6 jenk3	
絕子絕孫	jeud6 ji2 jeud6 seun1	
絕招	jeud6 jiu1	
絕種	jeud6 jonk2	
絕倫	jeud6 lont4	
絕路	jeud6 low6	
絕命	jeud6 menk6	
絕命書	jeud6 menk6 seu1	
絕妙	jeud6 miu6	
絕望	jeud6 mong6	
絕無	jeud6 mow4	
絕無僅有	jeud6 mow4 gant2 yaw5	
絕藝	jeud6 ngay6	
絕配	jeud6 pui3	
絕世	jeud6 say3	
絕色	jeud6 sek1	
絕食	jeud6 sek6	
絕食抗議	jeud6 sek6 kong3 yi5	
絕緣	jeud6 yeun4	
絕緣材料	jeud6 yeun4 coi4 liu6	
絕緣物	jeud6 yeun4 mat6	
絕緣線	jeud6 yeun4 sin3	
絕緣體	jeud6 yeun4 tay2	
絕熱	jeud6 yid6	
絕育	jeud6 yok6	
絕育法	jeud6 yok6 fad3	
尊卑	jeun1 bey1	
尊卑不分	jeun1 bey1 bat1 fant1	
專輯	jeun1 cap1	
專車	jeun1 ce1	
尊稱	jeun1 cenk1	
專程	jeun1 cenk4	
專情	jeun1 cenk4	
專唱	jeun1 ceong3	
專長	jeun1 ceong4	
專登	jeun1 dank1	故意，特意，刻意
專斷	jeun1 deun6	
磚塊	jeun1 fai3	
專科	jeun1 fo1	
專科學校	jeun1 fo1 hog6 hau6	
專訪	jeun1 fong2	
專家	jeun1 ga1	
尊駕	jeun1 ga3	
尊敬	jeun1 genk3	
專機	jeun1 gey1	
專攻	jeun1 gonk1	
尊貴	jeun1 guay3	
專櫃	jeun1 guay6	
專校	jeun1 hau6	
專向	jeun1 heong3	
專刊	jeun1 hon2	
專制	jeun1 jay3	
專職	jeun1 jek1	
專職人員	jeun1 jek1 yant4 yeun4	
專精	jeun1 jenk1	
專政	jeun1 jenk3	
專著	jeun1 jeu3	
專注	jeun1 jeu3	
專治	jeun1 ji6	
尊重	jeun1 jonk6	
專權	jeun1 keun4	
專區	jeun1 koy1	
專欄	jeun1 lan4	
專欄作家	jeun1 lan4 jog3 ga1	
專利	jeun1 ley6	
專利品	jeun1 ley6 bant2	
專利法	jeun1 ley6 fad3	
專利權	jeun1 ley6 keun4	
專利稅	jeun1 ley6 soy3	
專賣	jeun1 mai6	
專賣店	jeun1 mai6 dim3	
專文	jeun1 mant4	
專名	jeun1 menk4	
尊命	jeun1 menk6	
專門	jeun1 mun4	
專門化	jeun1 mun4 fa3	
專門知識	jeun1 mun4 ji1 sek1	
專案	jeun1 on3	
專案處理	jeun1 on3 ceu5 ley5	
專案小組	jeun1 on3 siu2 jow2	
專心	jeun1 samp1	
專心一意	jeun1 samp1 yat1 yi3	
專修	jeun1 saw1	
尊姓大名	jeun1 senk3 dai6 menk4	
專書	jeun1 seu1	
尊師	jeun1 si1	
專司	jeun1 si1	
尊師重道	jeun1 si1 jonk6 dow6	
專線	jeun1 sin3	
專線電話	jeun1 sin3 din6 wa2	
專屬	jeun1 sok6	
尊崇	jeun1 sonk4	
磚頭	jeun1 taw4	
專題	jeun1 tay4	
專題報告	jeun1 tay4 bow3 gow3	
專題研究	jeun1 tay4 yin4 gaw3	
專同…拗頸	jeun1 tonk4 ngau3 geng2	專門跟…抬杠
專為	jeun1 way4	
尊位	jeun1 way6	
尊榮	jeun1 wenk4	
專任	jeun1 yamp6	
專一	jeun1 yat1	
專有	jeun1 yaw5	
專有名詞	jeun1 yaw5 menk4 ci4	
專營	jeun1 yenk4	
鱒魚	jeun1 yeu4	
專員	jeun1 yeun4	
專業	jeun1 yib6	
專業化	jeun1 yib6 fa3	
專業教育	jeun1 yib6 gau3 yok6	
專業精神	jeun1 yib6 jenk1 sant4	
專業知識	jeun1 yib6 ji1 sek1	
專業組織	jeun1 yib6 jow2 jek1	
專業性	jeun1 yib6 senk3	
專業人士	jeun1 yib6 yant4 si6	
尊嚴	jeun1 yim4	
顓頊	jeun1 yok1	
專用	jeun1 yonk6	
專用品	jeun1 yonk6 bant2	
轉敗為勝	jeun2 bai6 way4 senk3	
轉變	jeun2 bin3	
轉播	jeun2 bo3	
轉車	jeun2 ce1	
轉發	jeun2 fad3	
轉寄	jeun2 gey3	
傳記	jeun2 gey3	
轉角	jeun2 gog3	
轉角處	jeun2 gog3 ceu3	
轉吓眼	jeun2 ha5 ngan5	一轉眼
轉行	jeun2 hong4	轉業，改行
轉贈	jeun2 jank6	
轉帳	jeun2 jeong3	
轉戰	jeun2 jin3	
轉載	jeun2 joi3	
轉租	jeun2 jow1	
轉捩點	jeun2 lid6 dim2	
轉賣	jeun2 mai6	
轉眼	jeun2 ngan5	
轉眼間	jeun2 ngan5 gan1	
轉眼之間	jeun2 ngan5 ji1 gan1	
轉念	jeun2 nim6	
轉念之間	jeun2 nim6 ji1 gan1	
轉身	jeun2 sant1	
轉送	jeun2 sonk3	
轉瞬	jeun2 sont3	
轉述	jeun2 sot6	
轉軚	jeun2 tai5	改變立場
轉頭	jeun2 taw4	回頭，一會兒，回頭再
轉頭見	jeun2 taw4 gin3	回頭見
轉頭嚟過	jeun2 taw4 ley4 guo3	回頭再來
轉彎	jeun2 wan1	
轉彎抹角	jeun2 wan1 mud3 gog3	
轉禍為福	jeun2 wo6 way4 fok1	
轉換	jeun2 wun6	
轉換器	jeun2 wun6 hey3	
轉讓	jeun2 yeong6	
轉移	jeun2 yi4	
鑽戒	jeun3 gai3	
轉左	jeun3 jo2	左轉
鑽石	jeun3 seg6	
轉右	jeun3 yaw6	右轉
知	ji1	知道
之不過	ji1 bat1 guo3	但是，不過
資本	ji1 bun2	
資本家	ji1 bun2 ga1	
資本主義	ji1 bun2 jeu2 yi6	
資本主義國家	ji1 bun2 jeu2 yi6 guog3 ga1	
資本主義社會	ji1 bun2 jeu2 yi6 se5 wui6	
資本論	ji1 bun2 lont6	
資產	ji1 can2	
資產階級	ji1 can2 gai1 kap1	
支撐	ji1 cang1	
知醜	ji1 caw2	知恥
知情	ji1 cenk4	
知情不報	ji1 cenk4 bat1 bow3	
知恥近乎勇	ji1 ci2 gant6 fu4 yonk5	
支持	ji1 ci4	
支持者	ji1 ci4 je2	
之前	ji1 cin4	
之初	ji1 co1	
輜重	ji1 conk5	
輜重團中尉	ji1 conk5 teun4 jonk1 way3	
支出	ji1 cot1	
支出費用	ji1 cot1 fay3 yonk6	
齜出牙	ji1 cot1 nga4	
知趣	ji1 coy3	
知到	ji1 dow3	知道
知道	ji1 dow6	
支隊	ji1 doy6	
支隊長	ji1 doy6 jeong2	
知法犯法	ji1 fad3 fan6 fad3	
脂肪	ji1 fong1	
之乎者也	ji1 fu4 je2 ya5	
支付	ji1 fu6	
資格	ji1 gag3	
支解	ji1 gai2	
資金	ji1 gamp1	
之間	ji1 gan1	
知己知彼	ji1 gey2 ji1 bey2	
知覺	ji1 gog3	
之下	ji1 ha6	
知慳識儉	ji1 han1 sek1 gim6	精打細算，懂得節儉，會過日子，懂得勤儉節約
之後	ji1 haw6	
支氣管	ji1 hey3 gun2	
支氣管炎	ji1 hey3 gun2 yim4	
之際	ji1 jay3	
姿整	ji1 jenk2	講究
蜘蛛	ji1 jeu1	
蜘蛛網	ji1 jeu1 mong5	
吱吱叫	ji1 ji1 giu3	
支支整整	ji1 ji1 jenk2 jenk2	過份講究打扮
支支吾吾	ji1 ji1 ng4 ng4	
知足	ji1 jok1	
知足常樂	ji1 jok1 seong4 log6	
之中	ji1 jonk1	
知其不可為而為之	ji1 key4 bat1 ho2 way4 yi4 way4 ji1	
知其一不知其二	ji1 key4 yat1 bat1 ji1 key4 yi6	
支流	ji1 law4	
支離	ji1 ley4	
支離破碎	ji1 ley4 po3 soy3	
資料	ji1 liu6	
資料庫	ji1 liu6 fu3	
支路	ji1 low6	
之類	ji1 loy6	
知唔知	ji1 m4 ji1	知不知道
芝麻	ji1 ma4	
之嘛	ji1 ma5	而已，罷了
支脈	ji1 mak6	
滋味	ji1 mey6	
知無不言	ji1 mow4 bat1 yin4	
知難而退	ji1 nan4 yi4 toy3	
齜牙	ji1 nga4	
齜牙咧嘴	ji1 nga4 le2 joy2	
之外	ji1 ngoi6	
之內	ji1 noi6	
支派	ji1 pai3	
支票	ji1 piu3	
支票簿	ji1 piu3 bow6	
支配	ji1 pui3	
知心	ji1 samp1	
知心朋友	ji1 samp1 pank4 yaw5	
知心話	ji1 samp1 wa2	
知心人	ji1 samp1 yant4	
姿勢	ji1 say3	
知悉	ji1 sek1	
知識	ji1 sek1	
知識青年	ji1 sek1 cenk1 nin4	
知識化	ji1 sek1 fa3	
知識份子	ji1 sek1 fant6 ji2	
知識階級	ji1 sek1 gai1 kap1	
知識性	ji1 sek1 senk3	
吱聲	ji1 senk1	
支承	ji1 senk4	
之上	ji1 seong6	
知書達禮	ji1 seu1 dad6 lay5	
知死	ji1 sey2	後悔莫及，知道利害
芝士	ji1 si2	奶酪，乳酪
支使	ji1 si2	
之所以	ji1 so2 yi5	
資訊	ji1 sont3	
知衰	ji1 soy1	知錯，認錯
姿態	ji1 tai3	
肢體	ji1 tay2	
肢體語言	ji1 tay2 yeu5 yin4	
支援	ji1 wun4	
知音	ji1 yamp1	
知恩圖報	ji1 yant1 tow4 bow3	
知人知面不知心	ji1 yant4 ji1 min6 bat1 ji1 samp1	
資源	ji1 yeun4	
滋潤	ji1 yont6	
紙	ji2	鈔票
紙	ji2	證件，證書，證明書
只不過	ji2 bat1 guo3	
咫尺	ji2 ceg3	
咫尺天涯	ji2 ceg3 tin1 ngai4	
指出	ji2 cot1	
子彈	ji2 dan2	
子彈頭	ji2 dan2 taw4	
子弟	ji2 day6	
子弟兵	ji2 day6 benk1	
指定	ji2 denk6	
指點	ji2 dim2	
指導	ji2 dow6	
指揮	ji2 fay1	
指甲	ji2 gab3	手指甲
指甲鉗	ji2 gab3 kim2	指甲刀，指甲剪子
紫禁城	ji2 gamp3 senk4	
紙巾	ji2 gant1	面紙，面巾紙，餐巾紙
子宮	ji2 gonk1	
子宮頸	ji2 gonk1 geng2	
子宮頸癌	ji2 gonk1 geng2 ngam4	
子宮癌	ji2 gonk1 ngam4	
子宮外孕	ji2 gonk1 ngoi6 yant6	
指關節	ji2 guan1 jid3	
紙貴洛陽	ji2 guay3 log3 yeong4	
止血	ji2 heud3	
止血帶	ji2 heud3 dai3	
止血器	ji2 heud3 hey3	
止血劑	ji2 heud3 jay1	
止血藥	ji2 heud3 yeog6	
指控	ji2 honk3	
子虛烏有	ji2 hoy1 wu1 yaw5	
指住	ji2 jeu6	
指尖	ji2 jim1	
