开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
不合作	bat1 hab6 jog3	
不合规定	bat1 hab6 kuay1 denk6	
不合时宜	bat1 hab6 si4 yi4	
不堪	bat1 hamp1	
不堪设想	bat1 hamp1 cid3 seong2	
不堪入目	bat1 hamp1 yap6 mok6	
不堪入耳	bat1 hamp1 yap6 yi5	
不堪一击	bat1 hamp1 yat1 gek1	
不含	bat1 hamp4	
不含税	bat1 hamp4 soy3	
不含糊	bat1 hamp4 wu4	
不幸	bat1 hank6	
不幸中之大幸	bat1 hank6 jonk1 ji1 dai6 hank6	
不孝	bat1 hau3	
不孝子	bat1 hau3 ji2	
不孝有三	bat1 hau3 yaw5 sam1	
不喜欢	bat1 hey2 fun1	
不可避免	bat1 ho2 bey6 min5	
不可多得	bat1 ho2 do1 dak1	
不可救药	bat1 ho2 gaw3 yeog6	
不可告人	bat1 ho2 gow3 yant4	
不可限量	bat1 ho2 han6 leong6	
不可开交	bat1 ho2 hoi1 gau1	
不可知论	bat1 ho2 ji1 lont6	
不可战胜	bat1 ho2 jin3 senk3	
不可捉摸	bat1 ho2 jok1 mo2	
不可终日	bat1 ho2 jonk1 yat6	
不可理喻	bat1 ho2 ley5 yeu6	
不可名状	bat1 ho2 menk4 jong6	
不可磨灭	bat1 ho2 mo4 mid6	
不可能	bat1 ho2 nank4	
不可旁贷	bat1 ho2 pong4 tai3	
不可收拾	bat1 ho2 saw1 sap6	
不可想像	bat1 ho2 seong2 jeong6	
不可思议	bat1 ho2 si1 yi5	
不可数	bat1 ho2 sow2	
不可同日而语	bat1 ho2 tonk4 yat6 yi4 yeu5	
不可或缺	bat1 ho2 wag6 keud3	
不可讳言	bat1 ho2 way5 yin4	
不可一世	bat1 ho2 yat1 say3	
不可逾越	bat1 ho2 yeu4 yeud6	
